nuts_code,country,region,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,gdp_per_capita_2022
ES52,ES,Comunitat Valenciana,76.29,93.74,74.89,60.9,70.41,77.96,80.15,57.56,54.04,85.51,37.82,14.400715563506262
ES53,ES,Illes Balears,76.29,84.03,74.89,60.9,70.35,80.97,74.42,57.33,51.79,85.51,28.45,18.962432915921287
ES61,ES,Andalucía,69.07,53.05,58.31,60.9,69.26,79.02,81.11,54.58,50.67,90.54,32.6,11.359570661896242
ES62,ES,Región de Murcia,71.13,99.9,58.31,60.9,69.25,81.22,85.2,59.43,50.56,90.54,29.46,13.237924865831843
ES63,ES,Ciudad de Ceuta,56.7,100.0,58.31,60.9,70.03,79.38,90.67,54.28,49.08,90.54,19.22,13.059033989266547
ES64,ES,Ciudad de Melilla,55.67,100.0,58.31,60.9,74.62,78.86,80.04,54.28,44.38,90.54,31.6,11.001788908765652
ES70,ES,Canarias,71.13,68.23,57.13,60.9,70.4,81.16,85.19,51.83,50.3,91.11,30.97,12.432915921288014
FI19,FI,Länsi-Suomi,81.44,100.0,69.09,88.72,93.14,85.79,90.27,87.3,66.33,87.34,48.02,30.858676207513412
FI1B,FI,Helsinki-Uusimaa,85.57,100.0,66.56,88.72,96.41,90.7,81.7,92.11,69.2,89.83,66.88,47.31663685152057
FI1C,FI,Etelä-Suomi,70.1,100.0,57.06,88.72,93.33,88.84,90.97,87.24,64.62,84.94,45.97,30.41144901610018
FI1D,FI,Pohjois- ja Itä-Suomi,85.57,100.0,88.93,88.72,90.97,92.82,96.72,89.71,61.05,78.83,47.18,29.516994633273704
FI20,FI,Åland,100.0,100.0,70.41,88.72,93.46,88.21,99.34,82.34,63.1,85.23,32.81,36.8515205724508
FR10,FR,Ile-de-France,57.73,99.82,23.5,72.12,74.9,79.92,61.45,64.02,55.16,72.02,50.38,48.658318425760285
FRB0,FR,Centre — Val de Loire,64.95,99.9,21.9,72.12,73.3,80.18,72.77,62.53,52.61,76.3,26.92,20.03577817531306
FRC1,FR,Bourgogne,73.2,99.06,48.32,72.12,66.08,78.54,81.72,64.12,55.28,75.45,28.13,21.46690518783542
FRC2,FR,Franche-Comté,63.92,98.01,48.32,72.12,67.69,80.89,79.33,63.39,55.71,75.45,29.69,18.6046511627907
FRD1,FR,Basse-Normandie,69.07,99.59,19.42,72.12,69.56,77.86,69.03,67.09,56.55,67.19,27.14,19.23076923076923
FRD2,FR,Haute-Normandie,65.98,99.46,19.42,72.12,68.53,73.42,70.39,65.9,54.0,67.19,27.51,22.450805008944545
FRE1,FR,Nord-Pas de Calais,71.13,98.95,23.25,72.12,67.98,69.43,43.01,65.42,44.36,75.18,26.4,20.661896243291597
FRE2,FR,Picardie,62.89,99.52,23.25,72.12,67.1,74.2,58.94,63.13,47.88,75.18,23.54,18.33631484794276
FRF1,FR,Alsace,60.82,99.68,32.35,72.12,72.23,81.75,73.62,65.43,53.61,71.42,35.92,23.613595706618963
FRF2,FR,Champagne-Ardenne,61.86,99.89,32.35,72.12,69.74,76.89,79.93,63.86,50.22,71.42,21.65,23.07692307692308
FRF3,FR,Lorraine,61.86,99.2,32.35,72.12,72.04,79.47,75.76,63.95,51.86,71.42,24.94,17.620751341681576
FRG0,FR,Pays de la Loire,69.07,99.37,64.58,72.12,70.91,79.21,77.58,63.52,58.72,75.87,33.04,23.70304114490161
FRH0,FR,Bretagne,68.04,99.49,53.69,72.12,70.34,80.08,78.27,67.52,51.21,75.24,34.64,22.271914132379248
FRI1,FR,Aquitaine,71.13,75.73,30.04,72.12,72.03,77.85,78.28,70.09,52.61,73.29,37.14,22.54025044722719
FRI2,FR,Limousin,53.61,98.29,30.04,72.12,66.41,79.2,82.57,68.05,51.18,73.29,29.03,17.79964221824687
FRI3,FR,Poitou-Charentes,63.92,99.83,30.04,72.12,71.39,76.63,68.69,69.77,50.06,73.29,27.04,20.572450805008945
FRJ1,FR,Languedoc-Roussillon,71.13,72.02,31.21,72.12,64.67,80.69,81.02,61.95,53.84,78.24,32.82,18.4257602862254
FRJ2,FR,Midi-Pyrénées,68.04,75.54,31.21,72.12,65.4,83.06,70.2,63.6,54.5,78.24,39.74,22.54025044722719
FRK1,FR,Auvergne,53.61,99.88,16.08,72.12,69.37,79.4,75.9,61.94,51.65,70.14,27.92,20.304114490161
FRK2,FR,Rhône-Alpes,67.01,87.72,16.08,72.12,70.24,81.31,73.16,60.28,51.92,70.14,41.99,26.56529516994633
FRL0,FR,Provence-Alpes-Côte d’Azur,68.04,55.64,44.21,72.12,72.79,80.39,70.12,66.98,56.17,77.27,34.63,27.99642218246869
FRM0,FR,Corse,73.2,37.13,32.53,72.12,64.98,79.66,81.25,67.16,46.75,74.53,19.34,18.4257602862254
FRY1,FR,Guadeloupe,0.0,78.52,32.01,72.12,67.34,84.66,71.32,57.61,54.38,73.53,12.31,15.026833631484797
FRY2,FR,Martinique,6.19,68.35,32.01,72.12,67.58,81.34,68.26,57.51,51.5,73.53,18.85,16.547406082289804
